,Paper,Subject,Subj_notes,MonoMix,Dom.species,TropTemp,Month.corr,Time,Plot.time,Plot.time.err,Method,AGbiomass,AGbiomass.units,AGbiomass_notes,Resp_facet,time.unit,model,O2.mmol,Temp.C,Time2,AGbiomass2,Temp2,Response
293,Yarbro and Carlson 2008,B,NA,mono,Halodule wrightii,tropical,Sep,9,9,0,Incubator,NA,NA,NA,GPP_hour,hour,N,1.315,NA,81,NA,NA,GPP
294,Yarbro and Carlson 2008,B,NA,mono,Halodule wrightii,tropical,Nov,11,11,0,Incubator,NA,NA,NA,GPP_hour,hour,N,2.59,NA,121,NA,NA,GPP
295,Yarbro and Carlson 2008,C,NA,mono,Thalassia testudinum,tropical,May,5,5,0,Incubator,NA,NA,NA,GPP_hour,hour,N,3.077,NA,25,NA,NA,GPP
296,Yarbro and Carlson 2008,C,NA,mono,Thalassia testudinum,tropical,Aug,8,8,0,Incubator,NA,NA,NA,GPP_hour,hour,N,8.872,NA,64,NA,NA,GPP
297,Yarbro and Carlson 2008,C,NA,mono,Thalassia testudinum,tropical,Nov,11,11,0,Incubator,NA,NA,NA,GPP_hour,hour,N,3.266,NA,121,NA,NA,GPP
298,Yarbro and Carlson 2008,D,NA,mono,Halodule wrightii,tropical,May,5,5,0,Incubator,NA,NA,NA,GPP_hour,hour,N,2.142,NA,25,NA,NA,GPP
299,Yarbro and Carlson 2008,D,NA,mono,Halodule wrightii,tropical,Aug,8,8,0,Incubator,NA,NA,NA,GPP_hour,hour,N,3.654,NA,64,NA,NA,GPP
300,Yarbro and Carlson 2008,D,NA,mono,Halodule wrightii,tropical,Nov,11,11,0,Incubator,NA,NA,NA,GPP_hour,hour,N,1.385,NA,121,NA,NA,GPP
301,Yarbro and Carlson 2008,E,NA,mono,Thalassia testudinum,tropical,Mar,3,3,0,Incubator,NA,NA,NA,GPP_hour,hour,N,1.921,NA,9,NA,NA,GPP
302,Yarbro and Carlson 2008,E,NA,mono,Thalassia testudinum,tropical,May,5,5,0,Incubator,NA,NA,NA,GPP_hour,hour,N,1.713,NA,25,NA,NA,GPP
303,Yarbro and Carlson 2008,E,NA,mono,Thalassia testudinum,tropical,Aug,8,8,0,Incubator,NA,NA,NA,GPP_hour,hour,N,2.709,NA,64,NA,NA,GPP
304,Yarbro and Carlson 2008,E,NA,mono,Thalassia testudinum,tropical,Sep,9,9,0,Incubator,NA,NA,NA,GPP_hour,hour,N,2.025,NA,81,NA,NA,GPP
305,Yarbro and Carlson 2008,E,NA,mono,Thalassia testudinum,tropical,Nov,11,11,0,Incubator,NA,NA,NA,GPP_hour,hour,N,1.401,NA,121,NA,NA,GPP
306,Yarbro and Carlson 2009,A,NA,mono,Thalassia testudinum,tropical,Mar,3,3,0,Incubator,NA,NA,NA,GPP_hour,hour,N,0.979,NA,9,NA,NA,GPP
307,Yarbro and Carlson 2009,C,NA,mono,Thalassia testudinum,tropical,Mar,3,3,0,Incubator,NA,NA,NA,GPP_hour,hour,N,5.395,NA,9,NA,NA,GPP
308,Adams et al. 2016,C,diff sites,mono,Zostera muelleri,temperate,Aug,8,8,0,Incubator,NA,NA,NA,R_day,day,N,-141,25.2,64,NA,635.04,R
309,Adams et al. 2016,A,diff sites,mono,Zostera muelleri,temperate,Aug,8,8,0,Incubator,NA,NA,NA,R_day,day,N,-241,26.2,64,NA,686.44,R
310,Adams et al. 2016,B,diff sites,mono,Zostera muelleri,temperate,Aug,8,8,0,Incubator,NA,NA,NA,R_day,day,N,-147,27.2,64,NA,739.84,R
311,Anton et al. 2009,A,same site over time,mix,Halodule wrightii,tropical,Apr,4,4,0,Incubator,18.254,g DW m-2,NA,R_hour,hour,N,-2.02959,23.247,16,333.208516,540.423009,R
312,Anton et al. 2009,A,same site over time,mix,Halodule wrightii,tropical,May,5,5,0,Incubator,8.906,g DW m-2,NA,R_hour,hour,N,-1.216116,26.32,25,79.316836,692.7424,R
313,Anton et al. 2009,A,same site over time,mix,Halodule wrightii,tropical,Jun,6,6,0,Incubator,10.223,g DW m-2,NA,R_hour,hour,N,-1.981433,30.017,36,104.509729,901.020289,R
314,Anton et al. 2009,A,same site over time,mix,Halodule wrightii,tropical,Aug,8,8,0,Incubator,11.575,g DW m-2,NA,R_hour,hour,N,-6.90854,30.258,64,133.980625,915.546564,R
315,Anton et al. 2020,A,NA,mono,Halodule uninervis,tropical,Mar,3,3,0,Incubator,7,g DW m-2,NA,R_day,day,N,-29.3,26.6,9,49,707.56,R
316,Anton et al. 2020,B,NA,mono,Thalassia hemprichii,tropical,Mar,3,3,0,Incubator,55,g DW m-2,NA,R_day,day,N,-44.6,26.6,9,3025,707.56,R
317,Anton et al. 2020,A,NA,mono,Halodule uninervis,tropical,Jul,7,7,0,Incubator,15,g DW m-2,NA,R_day,day,N,-143.4,31.1,49,225,967.21,R
318,Anton et al. 2020,B,NA,mono,Thalassia hemprichii,tropical,Jul,7,7,0,Incubator,31,g DW m-2,NA,R_day,day,N,-81.8,31.1,49,961,967.21,R
319,Anton et al. 2020,C,NA,mono,Halodule stipulacea,tropical,Jul,7,7,0,Incubator,14,g DW m-2,NA,R_day,day,N,-60.2,30.8,49,196,948.64,R
320,Anton et al. 2020,D,NA,mono,Thalassodendrum ciliatum,tropical,Jul,7,7,0,Incubator,64,g DW m-2,NA,R_day,day,N,-92.2,30.8,49,4096,948.64,R
321,Anton et al. 2020,E,NA,mono,Thalassodendrum ciliatum,tropical,Jul,7,7,0,Incubator,63,g DW m-2,NA,R_day,day,N,-65.3,30.27,49,3969,916.2729,R
322,Anton et al. 2020,F,NA,mono,Halodule uninervis,tropical,Jul,7,7,0,Incubator,11,g DW m-2,NA,R_day,day,N,-59.3,29.93,49,121,895.8049,R
323,Anton et al. 2020,G,NA,mono,Halophila stipulacea,tropical,Jul,7,7,0,Incubator,32,g DW m-2,NA,R_day,day,N,-169.6,29.93,49,1024,895.8049,R
324,Anton et al. 2020,H,NA,mono,Thalassia hemprichii,tropical,Jul,7,7,0,Incubator,51,g DW m-2,NA,R_day,day,N,-81.7,29.93,49,2601,895.8049,R
325,Anton et al. 2020,J,NA,mono,Halophila stipulacea,tropical,Jan,1,1,0,Incubator,5,g DW m-2,NA,R_day,day,N,-19.4,23.8,1,25,566.44,R
326,Anton et al. 2020,K,NA,mono,Halodule uninervis,tropical,Jul,7,7,0,Incubator,7,g DW m-2,NA,R_day,day,N,-119.7,31.5,49,49,992.25,R
327,Anton et al. 2020,L,NA,mono,Thalassia hemprichii,tropical,Jul,7,7,0,Incubator,13,g DW m-2,NA,R_day,day,N,-62.9,31.5,49,169,992.25,R
328,Anton et al. 2020,M,NA,mono,Halophila stipulacea,tropical,Mar,3,3,0,Incubator,14,g DW m-2,NA,R_day,day,N,-42.3,25,9,196,625,R
329,Anton et al. 2020,N,NA,mono,Halophila ovalis,tropical,Mar,3,3,0,Incubator,3,g DW m-2,NA,R_day,day,N,-24.7,25,9,9,625,R
330,Anton et al. 2020,M,NA,mono,Halophila stipulacea,tropical,Aug,8,8,0,Incubator,4,g DW m-2,NA,R_day,day,N,-69.9,32.3,64,16,1043.29,R
331,Anton et al. 2020,N,NA,mono,Halophila ovalis,tropical,Aug,8,8,0,Incubator,4,g DW m-2,NA,R_day,day,N,-62.4,32.3,64,16,1043.29,R
332,Anton et al. 2020,O,NA,mono,Halodule uninervis,tropical,Mar,3,3,0,Incubator,8,g DW m-2,NA,R_day,day,N,-36.6,27.5,9,64,756.25,R
333,Anton et al. 2020,P,NA,mono,Halophila ovalis,tropical,Mar,3,3,0,Incubator,3,g DW m-2,NA,R_day,day,N,-22.9,27.5,9,9,756.25,R
334,Anton et al. 2020,Q,NA,mono,Thalassia hemprichii,tropical,Mar,3,3,0,Incubator,28,g DW m-2,NA,R_day,day,N,-50.3,27.5,9,784,756.25,R
335,Anton et al. 2020,O,NA,mono,Halodule uninervis,tropical,Aug,8,8,0,Incubator,26,g DW m-2,NA,R_day,day,N,-56.7,31,64,676,961,R
336,Anton et al. 2020,R,NA,mono,Halophila stipulacea,tropical,Aug,8,8,0,Incubator,19,g DW m-2,NA,R_day,day,N,-56.3,31,64,361,961,R
337,Anton et al. 2020,P,NA,mono,Halophila ovalis,tropical,Aug,8,8,0,Incubator,4,g DW m-2,NA,R_day,day,N,-33.8,31,64,16,961,R
338,Anton et al. 2020,Q,NA,mono,Thalassia hemprichii,tropical,Aug,8,8,0,Incubator,28,g DW m-2,NA,R_day,day,N,-47.7,31,64,784,961,R
339,Apostolaki et al. 2010,A,NA,mono,Posidonia oceanica,temperate,Feb,2,2,0,Incubator,111.0648849,g DW m-2,NA,R_day,day,N,-34.0248,14.05,4,12335.40866,197.4025,R
340,Apostolaki et al. 2010,A,NA,mono,Posidonia oceanica,temperate,Apr,4,4,0,Incubator,173.7906793,g DW m-2,NA,R_day,day,N,-57.8556,15.52,16,30203.20021,240.8704,R
341,Apostolaki et al. 2010,A,NA,mono,Posidonia oceanica,temperate,Jun,6,6,0,Incubator,344.7404888,g DW m-2,NA,R_day,day,N,-142.9608,23.41,36,118846.0046,548.0281,R
342,Apostolaki et al. 2010,A,NA,mono,Posidonia oceanica,temperate,Aug,8,8,0,Incubator,237.878419,g DW m-2,NA,R_day,day,N,-77.7408,25.78,64,56586.14223,664.6084,R
343,Apostolaki et al. 2010,A,NA,mono,Posidonia oceanica,temperate,Oct,10,10,0,Incubator,89.2602009,g DW m-2,NA,R_day,day,N,-63.7656,21.29,100,7967.383465,453.2641,R
344,Apostolaki et al. 2010,A,NA,mono,Posidonia oceanica,temperate,Dec,12,12,0,Incubator,111.3256182,g DW m-2,NA,R_day,day,N,-45.0888,16.14,144,12393.39327,260.4996,R
345,Barron and Duarte 2009,A,NA,mono,Posidonia oceanica,temperate,Jan,1,1,0,Incubator,338.9,g DW m-2,NA,R_day,day,N,-18.04,NA,1,114853.21,NA,R
346,Barron and Duarte 2009,A,NA,mono,Posidonia oceanica,temperate,Feb,2,2,0,Incubator,348,g DW m-2,NA,R_day,day,N,-32.85,NA,4,121104,NA,R
347,Barron and Duarte 2009,A,NA,mono,Posidonia oceanica,temperate,Mar,3,3,0,Incubator,405.1,g DW m-2,NA,R_day,day,N,-29.01,NA,9,164106.01,NA,R
348,Barron and Duarte 2009,A,NA,mono,Posidonia oceanica,temperate,Apr,4,4,0,Incubator,859,g DW m-2,NA,R_day,day,N,-88.72,NA,16,737881,NA,R
349,Barron and Duarte 2009,A,NA,mono,Posidonia oceanica,temperate,Apr,4,4,0,Incubator,519.9,g DW m-2,NA,R_day,day,N,-84.53,NA,16,270296.01,NA,R
350,Barron and Duarte 2009,A,NA,mono,Posidonia oceanica,temperate,May,5,5,0,Incubator,490,g DW m-2,NA,R_day,day,N,-88.39,NA,25,240100,NA,R
351,Barron and Duarte 2009,A,NA,mono,Posidonia oceanica,temperate,May,5,5,0,Incubator,798.5,g DW m-2,NA,R_day,day,N,-29.05,NA,25,637602.25,NA,R
352,Barron and Duarte 2009,A,NA,mono,Posidonia oceanica,temperate,Jun,6,6,0,Incubator,682.2,g DW m-2,NA,R_day,day,N,-138.42,NA,36,465396.84,NA,R
353,Barron and Duarte 2009,A,NA,mono,Posidonia oceanica,temperate,Jun,6,6,0,Incubator,872.4,g DW m-2,NA,R_day,day,N,-72.93,NA,36,761081.76,NA,R
354,Barron and Duarte 2009,A,NA,mono,Posidonia oceanica,temperate,Jul,7,7,0,Incubator,553.9,g DW m-2,NA,R_day,day,N,-96.44,NA,49,306805.21,NA,R
355,Barron and Duarte 2009,A,NA,mono,Posidonia oceanica,temperate,Aug,8,8,0,Incubator,529.6,g DW m-2,NA,R_day,day,N,-141.91,NA,64,280476.16,NA,R
356,Barron and Duarte 2009,A,NA,mono,Posidonia oceanica,temperate,Sep,9,9,0,Incubator,233.4,g DW m-2,NA,R_day,day,N,-35.86,NA,81,54475.56,NA,R
357,Barron and Duarte 2009,A,NA,mono,Posidonia oceanica,temperate,Oct,10,10,0,Incubator,415,g DW m-2,NA,R_day,day,N,-108.97,NA,100,172225,NA,R
358,Barron and Duarte 2009,A,NA,mono,Posidonia oceanica,temperate,Nov,11,11,0,Incubator,399.2,g DW m-2,NA,R_day,day,N,-76.49,NA,121,159360.64,NA,R
359,Barron and Duarte 2009,A,NA,mono,Posidonia oceanica,temperate,Dec,12,12,0,Incubator,287.7,g DW m-2,NA,R_day,day,N,-60.87,NA,144,82771.29,NA,R
360,Barron et al. 2004,A,NA,mono,Cymodocea nodosa,temperate,Jul,7,7,0,Incubator,NA,NA,NA,R_day,day,N,-35.46,NA,49,NA,NA,R
361,Barron et al. 2004,A,NA,mono,Cymodocea nodosa,temperate,Jul,7,7,0,Incubator,NA,NA,NA,R_day,day,N,-54.29,NA,49,NA,NA,R
362,Barron et al. 2004,A,NA,mono,Cymodocea nodosa,temperate,Jul,7,7,0,Incubator,NA,NA,NA,R_day,day,N,-53.9,NA,49,NA,NA,R
363,Barron et al. 2004,A,NA,mono,Cymodocea nodosa,temperate,Jul,7,7,0,Incubator,NA,NA,NA,R_day,day,N,-83.65,NA,49,NA,NA,R
364,Barron et al. 2004,A,NA,mono,Cymodocea nodosa,temperate,Jul,7,7,0,Incubator,NA,NA,NA,R_day,day,N,-49.12,NA,49,NA,NA,R
365,Barron et al. 2004,A,NA,mono,Cymodocea nodosa,temperate,Jul,7,7,0,Incubator,NA,NA,NA,R_day,day,N,-74.07,NA,49,NA,NA,R
366,Barron et al. 2004,A,NA,mono,Cymodocea nodosa,temperate,Jul,7,7,0,Incubator,NA,NA,NA,R_day,day,N,-14.13,NA,49,NA,NA,R
367,Barron et al. 2006,A,NA,mono,Posidonia oceanica,temperate,Feb,2,2,0,Incubator,348.957,g DW m-2,NA,R_day,day,N,-32.846,14.467,4,121770.9878,209.294089,R
368,Barron et al. 2006,A,NA,mono,Posidonia oceanica,temperate,Mar,3,3,0,Incubator,NA,NA,NA,R_day,day,N,-26.939,NA,9,NA,NA,R
369,Barron et al. 2006,A,NA,mono,Posidonia oceanica,temperate,Apr,4,4,0,Incubator,860.21,g DW m-2,NA,R_day,day,N,-89.925,NA,16,739961.2441,NA,R
370,Barron et al. 2006,A,NA,mono,Posidonia oceanica,temperate,Apr,4,4,0,Incubator,521.143,g DW m-2,NA,R_day,day,N,-83.314,15.147,16,271590.0264,229.431609,R
371,Barron et al. 2006,A,NA,mono,Posidonia oceanica,temperate,May,5,5,0,Incubator,487.462,g DW m-2,NA,R_day,day,N,-88.644,NA,25,237619.2014,NA,R
372,Barron et al. 2006,A,NA,mono,Posidonia oceanica,temperate,May,5,5,0,Incubator,797.001,g DW m-2,NA,R_day,day,N,-30.512,18.917,25,635210.594,357.852889,R
373,Barron et al. 2006,A,NA,mono,Posidonia oceanica,temperate,Jun,6,6,0,Incubator,681.985,g DW m-2,NA,R_day,day,N,-138.466,22.605,36,465103.5402,510.986025,R
374,Barron et al. 2006,A,NA,mono,Posidonia oceanica,temperate,Jun,6,6,0,Incubator,870.692,g DW m-2,NA,R_day,day,N,-72.244,22.415,36,758104.5589,502.432225,R
375,Barron et al. 2006,A,NA,mono,Posidonia oceanica,temperate,Jul,7,7,0,Incubator,553.397,g DW m-2,NA,R_day,day,N,-97.156,25.151,49,306248.2396,632.572801,R
376,Barron et al. 2006,A,NA,mono,Posidonia oceanica,temperate,Aug,8,8,0,Incubator,529.737,g DW m-2,NA,R_day,day,N,-141.45,27.273,64,280621.2892,743.816529,R
377,Barron et al. 2006,A,NA,mono,Posidonia oceanica,temperate,Sep,9,9,0,Incubator,233.993,g DW m-2,NA,R_day,day,N,-37.051,25.745,81,54752.72405,662.805025,R
378,Barron et al. 2006,A,NA,mono,Posidonia oceanica,temperate,Oct,10,10,0,Incubator,415.093,g DW m-2,NA,R_day,day,N,-108.478,23.637,100,172302.1986,558.707769,R
379,Barron et al. 2006,A,NA,mono,Posidonia oceanica,temperate,Nov,11,11,0,Incubator,396.952,g DW m-2,NA,R_day,day,N,-76.661,18.669,121,157570.8903,348.531561,R
380,Barron et al. 2006,A,NA,mono,Posidonia oceanica,temperate,Dec,12,12,0,Incubator,285.406,g DW m-2,NA,R_day,day,N,-61.904,15.66,144,81456.58484,245.2356,R
381,Berg et al. 2018,A,NA,mono,Zostera marina,temperate,Apr,4,4,0,Eddy covariance,34.73631279,g DW m-2,NA,R_day,day,N,-68.078,16,16,1206.611426,256,R
382,Berg et al. 2018,A,NA,mono,Zostera marina,temperate,Jun,6,6,0,Eddy covariance,44.66097359,g DW m-2,NA,R_day,day,N,-132.865,27.6,36,1994.602562,761.76,R
383,Berger et al. 2020,A,NA,mono,Zostera marina,temperate,Jan,1,1,0,Eddy covariance,NA,NA,NA,R_day,day,N,-28,NA,1,NA,NA,R
384,Berger et al. 2020,A,NA,mono,Zostera marina,temperate,Mar,3,3,0,Eddy covariance,NA,NA,NA,R_day,day,N,-69,NA,9,NA,NA,R
385,Berger et al. 2020,A,NA,mono,Zostera marina,temperate,Apr,4,4,0,Eddy covariance,NA,NA,NA,R_day,day,N,-77,NA,16,NA,NA,R
386,Berger et al. 2020,A,NA,mono,Zostera marina,temperate,Apr,4,4,0,Eddy covariance,NA,NA,NA,R_day,day,N,-52,NA,16,NA,NA,R
387,Berger et al. 2020,A,NA,mono,Zostera marina,temperate,Apr,4,4,0,Eddy covariance,NA,NA,NA,R_day,day,N,-73,NA,16,NA,NA,R
388,Berger et al. 2020,A,NA,mono,Zostera marina,temperate,Apr,4,4,0,Eddy covariance,NA,NA,NA,R_day,day,N,-82,NA,16,NA,NA,R
389,Berger et al. 2020,A,NA,mono,Zostera marina,temperate,Apr,4,4,0,Eddy covariance,NA,NA,NA,R_day,day,N,-56,NA,16,NA,NA,R
390,Berger et al. 2020,A,NA,mono,Zostera marina,temperate,May,5,5,0,Eddy covariance,NA,NA,NA,R_day,day,N,-181,NA,25,NA,NA,R
391,Berger et al. 2020,A,NA,mono,Zostera marina,temperate,May,5,5,0,Eddy covariance,NA,NA,NA,R_day,day,N,-99,NA,25,NA,NA,R
392,Berger et al. 2020,A,NA,mono,Zostera marina,temperate,Jun,6,6,0,Eddy covariance,NA,NA,NA,R_day,day,N,-220,NA,36,NA,NA,R
393,Berger et al. 2020,A,NA,mono,Zostera marina,temperate,Jun,6,6,0,Eddy covariance,NA,NA,NA,R_day,day,N,-141,NA,36,NA,NA,R
394,Berger et al. 2020,A,NA,mono,Zostera marina,temperate,Jun,6,6,0,Eddy covariance,NA,NA,NA,R_day,day,N,-135,NA,36,NA,NA,R
395,Berger et al. 2020,A,NA,mono,Zostera marina,temperate,Jun,6,6,0,Eddy covariance,NA,NA,NA,R_day,day,N,-120,NA,36,NA,NA,R
396,Berger et al. 2020,A,NA,mono,Zostera marina,temperate,Jun,6,6,0,Eddy covariance,NA,NA,NA,R_day,day,N,-125,NA,36,NA,NA,R
397,Berger et al. 2020,A,NA,mono,Zostera marina,temperate,Jul,7,7,0,Eddy covariance,NA,NA,NA,R_day,day,N,-223,NA,49,NA,NA,R
398,Berger et al. 2020,A,NA,mono,Zostera marina,temperate,Jul,7,7,0,Eddy covariance,NA,NA,NA,R_day,day,N,-144,NA,49,NA,NA,R
399,Berger et al. 2020,A,NA,mono,Zostera marina,temperate,Aug,8,8,0,Eddy covariance,NA,NA,NA,R_day,day,N,-224,NA,64,NA,NA,R
400,Berger et al. 2020,A,NA,mono,Zostera marina,temperate,Aug,8,8,0,Eddy covariance,NA,NA,NA,R_day,day,N,-81,NA,64,NA,NA,R
401,Berger et al. 2020,A,NA,mono,Zostera marina,temperate,Aug,8,8,0,Eddy covariance,NA,NA,NA,R_day,day,N,-98,NA,64,NA,NA,R
402,Berger et al. 2020,A,NA,mono,Zostera marina,temperate,Aug,8,8,0,Eddy covariance,NA,NA,NA,R_day,day,N,-111,NA,64,NA,NA,R
403,Berger et al. 2020,A,NA,mono,Zostera marina,temperate,Oct,10,10,0,Eddy covariance,NA,NA,NA,R_day,day,N,-73,NA,100,NA,NA,R
404,Berger et al. 2020,A,NA,mono,Zostera marina,temperate,Oct,10,10,0,Eddy covariance,NA,NA,NA,R_day,day,N,-53,NA,100,NA,NA,R
405,Berger et al. 2020,A,NA,mono,Zostera marina,temperate,Oct,10,10,0,Eddy covariance,NA,NA,NA,R_day,day,N,-65,NA,100,NA,NA,R
406,Berger et al. 2020,A,NA,mono,Zostera marina,temperate,Nov,11,11,0,Eddy covariance,NA,NA,NA,R_day,day,N,-40,NA,121,NA,NA,R
407,Burkhoz et al. 2019,A,NA,mono,Enhalus acoroides,tropical,Feb,2,2,0,Incubator,NA,NA,NA,R_day,day,N,-152.97,22.3,4,NA,497.29,R
408,Burkhoz et al. 2019,B,NA,mix,Cymodecea serrulata and Halodule uninervis,tropical,Feb,2,2,0,Incubator,NA,NA,NA,R_day,day,N,-91.3,22.8,4,NA,519.84,R
409,Burkhoz et al. 2019,A,NA,mono,Enhalus acoroides,tropical,Apr,4,4,0,Incubator,NA,NA,NA,R_day,day,N,-109.4,29.6,16,NA,876.16,R
410,Burkhoz et al. 2019,B,NA,mix,Cymodecea serrulata and Halodule uninervis,tropical,Apr,4,4,0,Incubator,NA,NA,NA,R_day,day,N,-159.81,30,16,NA,900,R
411,Burkhoz et al. 2019,A,NA,mono,Enhalus acoroides,tropical,Jun,6,6,0,Incubator,NA,NA,NA,R_day,day,N,-231.39,32.5,36,NA,1056.25,R
412,Burkhoz et al. 2019,A,NA,mono,Enhalus acoroides,tropical,Jul,7,7,0,Incubator,NA,NA,NA,R_day,day,N,-278.83,33.4,49,NA,1115.56,R
413,Burkhoz et al. 2019,B,NA,mix,Cymodecea serrulata and Halodule uninervis,tropical,Jul,7,7,0,Incubator,NA,NA,NA,R_day,day,N,-254.15,33.5,49,NA,1122.25,R
414,Burkhoz et al. 2019,A,NA,mono,Enhalus acoroides,tropical,Aug,8,8,0,Incubator,NA,NA,NA,R_day,day,N,-168.46,32,64,NA,1024,R
415,Burkhoz et al. 2019,B,NA,mix,Cymodecea serrulata and Halodule uninervis,tropical,Aug,8,8,0,Incubator,NA,NA,NA,R_day,day,N,-256.2,33.8,64,NA,1142.44,R
416,Burkhoz et al. 2019,B,NA,mix,Cymodecea serrulata and Halodule uninervis,tropical,Sep,9,9,0,Incubator,NA,NA,NA,R_day,day,N,-342.17,33.5,81,NA,1122.25,R
417,Burkhoz et al. 2019,B,NA,mix,Cymodecea serrulata and Halodule uninervis,tropical,Oct,10,10,0,Incubator,NA,NA,NA,R_day,day,N,-307.48,32.2,100,NA,1036.84,R
418,Burkhoz et al. 2019,A,NA,mono,Enhalus acoroides,tropical,Nov,11,11,0,Incubator,NA,NA,NA,R_day,day,N,-165.56,28.5,121,NA,812.25,R
419,Burkhoz et al. 2019,B,NA,mix,Cymodecea serrulata and Halodule uninervis,tropical,Nov,11,11,0,Incubator,NA,NA,NA,R_day,day,N,-233.47,30.7,121,NA,942.49,R
420,Calleja et al. 2006,A,NA,mono,Thalassia testudinum,tropical,Dec,12,12,0,Incubator,NA,NA,NA,R_day,day,N,-82.06,24,144,NA,576,R
421,Champenois and Borges 2012,A,NA,mono,Posidonia oceanica,temperate,Feb,2,2,0,Incubator,482.1,g DW m-2,NA,R_day,day,N,-107,14.14329,4,232420.41,200.032652,R
422,Champenois and Borges 2012,A,NA,mono,Posidonia oceanica,temperate,Feb,2,2,0,Incubator,248.1,g DW m-2,NA,R_day,day,N,-69.31,13.25963,4,61553.61,175.8177877,R
423,Champenois and Borges 2012,A,NA,mono,Posidonia oceanica,temperate,Feb,2,2,0,Incubator,314,g DW m-2,NA,R_day,day,N,-73.63,12.90182,4,98596,166.4569593,R
424,Champenois and Borges 2012,A,NA,mono,Posidonia oceanica,temperate,Apr,4,4,0,Incubator,736.3,g DW m-2,NA,R_day,day,N,-239.02,14.31058,16,542137.69,204.7926999,R
425,Champenois and Borges 2012,A,NA,mono,Posidonia oceanica,temperate,Apr,4,4,0,Incubator,529.9,g DW m-2,NA,R_day,day,N,-218.9,15.93007,16,280794.01,253.7671302,R
426,Champenois and Borges 2012,A,NA,mono,Posidonia oceanica,temperate,May,5,5,0,Incubator,750.6,g DW m-2,NA,R_day,day,N,-94.99,18.21524,25,563400.36,331.7949683,R
427,Champenois and Borges 2012,A,NA,mono,Posidonia oceanica,temperate,Jun,6,6,0,Incubator,435,g DW m-2,NA,R_day,day,N,-301.23,20.24781,36,189225,409.9738098,R
428,Champenois and Borges 2012,A,NA,mono,Posidonia oceanica,temperate,Aug,8,8,0,Incubator,862.4,g DW m-2,NA,R_day,day,N,-242.74,25.5752,64,743733.76,654.090855,R
429,Champenois and Borges 2012,A,NA,mono,Posidonia oceanica,temperate,Aug,8,8,0,Incubator,528.3,g DW m-2,NA,R_day,day,N,-129.68,22.27244,64,279100.89,496.0615836,R
430,Champenois and Borges 2012,A,NA,mono,Posidonia oceanica,temperate,Aug,8,8,0,Incubator,629.5,g DW m-2,NA,R_day,day,N,-296.54,25.57224,64,396270.25,653.9394586,R
431,Champenois and Borges 2012,A,NA,mono,Posidonia oceanica,temperate,Aug,8,8,0,Incubator,431.2,g DW m-2,NA,R_day,day,N,-192.12,24.35753,64,185933.44,593.2892677,R
432,Champenois and Borges 2012,A,NA,mono,Posidonia oceanica,temperate,Oct,10,10,0,Incubator,255.6,g DW m-2,NA,R_day,day,N,-39.29,22.33733,100,65331.36,498.9563115,R
433,Champenois and Borges 2012,A,NA,mono,Posidonia oceanica,temperate,Oct,10,10,0,Incubator,201.1,g DW m-2,NA,R_day,day,N,-49.47,19.32532,100,40441.21,373.4679931,R
434,Champenois and Borges 2012,A,NA,mono,Posidonia oceanica,temperate,Dec,12,12,0,Incubator,301.5,g DW m-2,NA,R_day,day,N,-67.97,18.03682,144,90902.25,325.3268757,R
435,Champenois and Borges 2012,A,NA,mono,Posidonia oceanica,temperate,Dec,12,12,0,Incubator,235.5,g DW m-2,NA,R_day,day,N,-54.1,16.36981,144,55460.25,267.9706794,R
436,Chen et al. 2019,A,NA,mono,Zostera capricorni,temperate,Feb,2,2,0,Incubator,NA,NA,NA,R_hour,hour,N,-1.797,NA,4,NA,NA,R
437,Chen et al. 2019,B,NA,mono,Halophila ovalis,temperate,Feb,2,2,0,Incubator,NA,NA,NA,R_hour,hour,N,-1.141,NA,4,NA,NA,R
438,Chen et al. 2019,C,NA,mono,Zostera capricorni,temperate,Feb,2,2,0,Incubator,NA,NA,NA,R_hour,hour,N,-2.58,NA,4,NA,NA,R
439,Chen et al. 2019,A,NA,mono,Zostera capricorni,temperate,May,5,5,0,Incubator,NA,NA,NA,R_hour,hour,N,-3.35,NA,25,NA,NA,R
440,Chen et al. 2019,A,NA,mono,Zostera capricorni,temperate,Aug,8,8,0,Incubator,NA,NA,NA,R_hour,hour,N,-4.253,NA,64,NA,NA,R
441,Chen et al. 2019,B,NA,mono,Halophila ovalis,temperate,Aug,8,8,0,Incubator,NA,NA,NA,R_hour,hour,N,-2.415,NA,64,NA,NA,R
442,Chen et al. 2019,C,NA,mono,Zostera capricorni,temperate,Aug,8,8,0,Incubator,NA,NA,NA,R_hour,hour,N,-5.633,NA,64,NA,NA,R
443,Chen et al. 2019,A,NA,mono,Zostera capricorni,temperate,Nov,11,11,0,Incubator,NA,NA,NA,R_hour,hour,N,-1.87,NA,121,NA,NA,R
444,Chen et al. 2019,B,NA,mono,Halophila ovalis,temperate,Nov,11,11,0,Incubator,NA,NA,NA,R_hour,hour,N,-1.405,NA,121,NA,NA,R
445,Chen et al. 2019,C,NA,mono,Zostera capricorni,temperate,Nov,11,11,0,Incubator,NA,NA,NA,R_hour,hour,N,-1.72,NA,121,NA,NA,R
